ALDER;CIVILSTAND;TID;INDHOLD
IALT I alt;G Gift/separeret;2020K1 2020K1;2146017
IALT I alt;U Ugift;2020K1 2020K1;2844060
0 0 år;G Gift/separeret;2020K1 2020K1;0
0 0 år;U Ugift;2020K1 2020K1;61466
1 1 år;G Gift/separeret;2020K1 2020K1;0
1 1 år;U Ugift;2020K1 2020K1;61916
2 2 år;G Gift/separeret;2020K1 2020K1;0
2 2 år;U Ugift;2020K1 2020K1;62148
3 3 år;G Gift/separeret;2020K1 2020K1;0
3 3 år;U Ugift;2020K1 2020K1;62697
4 4 år;G Gift/separeret;2020K1 2020K1;0
4 4 år;U Ugift;2020K1 2020K1;59661
5 5 år;G Gift/separeret;2020K1 2020K1;0
5 5 år;U Ugift;2020K1 2020K1;58993
6 6 år;G Gift/separeret;2020K1 2020K1;0
6 6 år;U Ugift;2020K1 2020K1;58415
7 7 år;G Gift/separeret;2020K1 2020K1;0
7 7 år;U Ugift;2020K1 2020K1;60745
8 8 år;G Gift/separeret;2020K1 2020K1;0
8 8 år;U Ugift;2020K1 2020K1;61926
9 9 år;G Gift/separeret;2020K1 2020K1;0
9 9 år;U Ugift;2020K1 2020K1;66522
10 10 år;G Gift/separeret;2020K1 2020K1;0
10 10 år;U Ugift;2020K1 2020K1;66254
11 11 år;G Gift/separeret;2020K1 2020K1;0
11 11 år;U Ugift;2020K1 2020K1;68649
12 12 år;G Gift/separeret;2020K1 2020K1;0
12 12 år;U Ugift;2020K1 2020K1;67673
13 13 år;G Gift/separeret;2020K1 2020K1;0
13 13 år;U Ugift;2020K1 2020K1;68523
14 14 år;G Gift/separeret;2020K1 2020K1;0
14 14 år;U Ugift;2020K1 2020K1;67530
15 15 år;G Gift/separeret;2020K1 2020K1;0
15 15 år;U Ugift;2020K1 2020K1;67768
16 16 år;G Gift/separeret;2020K1 2020K1;0
16 16 år;U Ugift;2020K1 2020K1;67948
17 17 år;G Gift/separeret;2020K1 2020K1;0
17 17 år;U Ugift;2020K1 2020K1;67304
18 18 år;G Gift/separeret;2020K1 2020K1;22
18 18 år;U Ugift;2020K1 2020K1;68617
